gesture,rep,t_ms,gx,gy,gz
down,4,941,75.188,-29.125,-2.250
down,4,951,66.313,-31.750,-2.063
down,4,961,61.000,-33.438,-1.687
down,4,971,57.375,-31.875,-1.375
down,4,981,54.438,-27.125,-1.937
down,4,991,48.875,-20.812,-3.000
down,5,1,-1.750,-4.187,-4.000
down,5,11,-1.562,-7.000,-3.688
down,5,21,-1.750,-9.063,-3.500
down,5,31,-2.250,-10.563,-3.500
down,5,41,-3.000,-11.250,-2.938
down,5,51,-3.375,-11.313,-1.625
down,5,61,-3.938,-12.188,-0.187
down,5,71,-5.062,-15.313,0.500
down,5,81,-6.187,-19.687,-0.250
down,5,91,-7.625,-26.187,-2.250
down,5,101,-10.313,-38.500,-7.375
down,5,111,-13.250,-51.125,-13.563
down,5,121,-15.438,-63.875,-20.437
down,5,131,-14.625,-76.875,-28.062
down,5,141,-10.313,-82.500,-31.937
down,5,151,-1.000,-82.563,-32.438
down,5,161,7.375,-78.813,-30.687
down,5,171,13.625,-73.625,-29.125
down,5,181,15.438,-65.750,-26.937
down,5,191,11.500,-58.500,-23.312
down,5,201,2.563,-52.000,-18.187
down,5,211,-15.438,-46.438,-10.250
down,5,221,-32.438,-44.375,-0.937
down,5,231,-48.938,-43.250,11.375
down,5,241,-66.875,-38.938,29.375
down,5,251,-80.625,-34.625,45.063
down,5,261,-96.188,-32.313,61.000
down,5,271,-117.188,-26.562,68.188
down,5,281,-136.937,-11.438,71.688
down,5,291,-163.750,20.500,73.563
down,5,301,-182.687,51.375,72.250
down,5,311,-197.375,81.563,65.625
down,5,321,-204.062,110.313,49.750
down,5,331,-201.125,118.063,35.313
down,5,341,-198.562,109.813,25.125
down,5,351,-207.000,85.375,23.312
down,5,361,-222.312,68.375,27.000
down,5,371,-234.000,68.000,31.000
down,5,381,-232.312,96.313,33.938
down,5,391,-223.062,128.875,32.188
down,5,401,-218.625,158.625,25.562
down,5,411,-223.437,163.687,18.937
down,5,421,-227.562,152.875,12.938
down,5,431,-219.625,128.812,4.625
down,5,441,-201.937,112.563,-4.437
down,5,451,-180.375,109.000,-13.750
down,5,461,-154.000,124.500,-22.687
down,5,471,-133.375,139.750,-28.625
down,5,481,-112.875,141.937,-35.375
down,5,491,-85.250,122.063,-40.938
down,5,501,-59.688,91.000,-40.313
down,5,511,-16.875,35.063,-36.125
down,5,521,-1.875,-16.437,-29.000
down,5,531,20.000,-65.000,-15.625
down,5,541,41.375,-113.125,6.000
down,5,551,52.688,-136.812,20.812
down,5,561,58.563,-147.375,28.312
down,5,571,63.375,-134.937,31.437
down,5,581,74.438,-106.375,32.438
down,5,591,94.063,-76.625,33.563
down,5,601,115.938,-52.250,32.375
down,5,611,117.313,-39.125,26.062
down,5,621,106.375,-24.000,15.813
down,5,631,94.938,-0.500,3.500
down,5,641,92.625,11.250,-1.750
down,5,651,87.938,0.750,-5.375
down,5,661,78.938,-17.750,-9.438
down,5,671,70.938,-31.437,-13.063
down,5,681,76.063,-37.375,-11.688
down,5,691,96.938,-36.188,-4.812
down,5,701,126.375,-33.688,3.188
down,5,711,161.000,-34.000,10.750
down,5,721,179.500,-38.313,15.375
down,5,731,186.687,-43.688,19.625
down,5,741,180.500,-47.625,24.375
down,5,751,169.750,-45.938,27.062
down,5,761,160.125,-37.125,28.062
down,5,771,158.687,-27.062,26.812
down,5,781,162.062,-17.000,23.375
down,5,791,165.437,-12.250,17.562
down,5,801,162.562,-15.375,14.938
down,5,811,152.875,-22.812,9.500
down,5,821,136.812,-33.063,-2.750
down,5,831,127.188,-36.500,-13.500
down,5,841,122.125,-33.563,-21.750
down,5,851,118.750,-28.000,-26.812
down,5,861,115.500,-26.062,-26.375
down,5,871,111.063,-25.937,-24.375
down,5,881,101.063,-25.500,-24.437
down,5,891,89.125,-23.812,-25.250
down,5,901,72.188,-22.187,-24.437
down,5,911,59.125,-21.875,-22.500
down,5,921,47.500,-19.812,-21.312
down,5,931,35.625,-12.438,-22.250
down,5,941,28.437,-3.375,-24.250
down,5,951,23.187,6.250,-25.437
down,5,961,17.312,14.000,-24.750
down,5,971,10.938,14.875,-23.812
down,5,981,3.063,14.250,-22.750
down,5,991,-4.812,17.125,-19.250
down,6,1,-5.750,10.688,7.562
