gesture,rep,t_ms,gx,gy,gz
left,3,951,88.063,-67.813,240.687
left,3,961,79.938,-68.563,248.375
left,3,971,72.750,-73.750,253.062
left,3,981,66.938,-82.938,254.875
left,3,991,69.313,-89.125,258.937
left,4,1,6.250,-5.750,-4.187
left,4,11,6.500,-5.000,-3.750
left,4,21,5.875,-3.750,-3.438
left,4,31,4.562,-2.063,-2.938
left,4,41,3.750,-1.125,-2.500
left,4,51,3.500,-0.875,-2.500
left,4,61,3.750,-1.500,-3.625
left,4,71,4.125,-2.500,-5.000
left,4,81,4.437,-3.375,-5.875
left,4,91,4.625,-3.750,-5.687
left,4,101,4.187,-3.500,-4.437
left,4,111,3.063,-2.438,-2.063
left,4,121,1.437,-1.125,-0.375
left,4,131,0.500,0.187,0.312
left,4,141,-0.437,1.187,-0.937
left,4,151,-0.437,1.562,-3.625
left,4,161,0.875,1.500,-7.125
left,4,171,3.938,0.687,-11.438
left,4,181,6.875,0.000,-14.438
left,4,191,10.313,-0.875,-17.000
left,4,201,15.813,-2.313,-18.812
left,4,211,21.062,-3.000,-19.250
left,4,221,26.000,-2.688,-20.125
left,4,231,30.000,-0.312,-24.250
left,4,241,31.437,3.188,-31.562
left,4,251,32.750,8.563,-44.750
left,4,261,35.063,12.563,-57.188
left,4,271,39.750,15.688,-70.938
left,4,281,50.625,18.375,-89.813
left,4,291,64.375,20.187,-106.188
left,4,301,83.125,21.812,-124.750
left,4,311,111.875,23.062,-153.437
left,4,321,134.687,22.750,-178.312
left,4,331,152.125,21.500,-199.812
left,4,341,161.812,21.250,-217.000
left,4,351,159.062,23.625,-223.625
left,4,361,131.875,29.750,-227.250
left,4,371,124.250,36.188,-229.562
left,4,381,102.313,42.250,-233.562
left,4,391,77.813,45.813,-241.625
left,4,401,61.813,45.000,-248.875
left,4,411,48.938,42.875,-255.625
left,4,421,34.250,41.188,-262.937
left,4,431,19.312,40.938,-268.312
left,4,441,-0.062,41.813,-273.562
left,4,451,-27.500,44.125,-280.375
left,4,461,-46.375,47.563,-288.937
left,4,471,-57.438,51.438,-318.750
left,4,481,-62.125,52.750,-321.500
left,4,491,-65.250,48.938,-331.750
left,4,501,-73.813,40.063,-337.062
left,4,511,-83.875,34.188,-335.937
left,4,521,-93.875,34.313,-330.750
left,4,531,-107.313,41.063,-315.187
left,4,541,-122.125,46.875,-291.750
left,4,551,-139.062,49.688,-260.125
left,4,561,-155.000,54.813,-219.687
left,4,571,-159.937,64.938,-194.812
left,4,581,-160.812,77.500,-178.750
left,4,591,-160.937,89.375,-168.250
left,4,601,-158.125,92.125,-167.000
left,4,611,-144.062,86.125,-178.437
left,4,621,-124.875,75.750,-196.500
left,4,631,-104.000,62.063,-214.250
left,4,641,-83.188,41.000,-222.875
left,4,651,-76.938,26.125,-214.625
left,4,661,-78.438,16.437,-198.062
left,4,671,-77.125,-0.500,-179.187
left,4,681,-66.625,-8.625,-171.437
left,4,691,-52.125,-2.438,-170.000
left,4,701,-40.875,1.562,-170.937
left,4,711,-35.438,-10.625,-166.625
left,4,721,-28.375,-23.312,-148.687
left,4,731,-20.562,-20.250,-125.938
left,4,741,-18.687,-5.000,-99.438
left,4,751,-18.687,14.938,-67.625
left,4,761,-17.187,26.562,-48.438
left,4,771,-13.938,34.688,-35.813
left,4,781,-7.687,38.250,-23.687
left,4,791,-2.250,33.625,-13.188
left,4,801,1.750,24.000,-1.625
left,4,811,4.187,11.625,12.438
left,4,821,5.875,4.625,22.375
left,4,831,9.563,-0.312,30.312
left,4,841,17.625,-7.000,37.250
left,4,851,25.562,-14.125,42.750
left,4,861,34.375,-24.750,51.438
left,4,871,39.813,-32.938,58.625
left,4,881,44.000,-39.313,65.250
left,4,891,46.813,-43.813,73.375
left,4,901,47.250,-43.438,79.250
left,4,911,47.938,-38.063,84.000
left,4,921,51.000,-24.875,91.688
left,4,931,54.063,-16.312,100.250
left,4,941,55.563,-14.750,109.250
left,4,951,54.500,-16.125,119.313
left,4,961,55.750,-12.750,125.750
left,4,971,60.875,-6.312,133.312
left,4,981,66.500,-1.687,140.875
left,4,991,65.000,-3.938,149.750
left,5,1,1.500,4.437,4.250
left,5,11,4.437,2.500,4.375
left,5,21,8.813,-0.437,4.125
left,5,31,11.938,-2.438,3.625
left,5,41,14.188,-3.563,2.938
left,5,51,14.813,-3.188,2.313
left,5,61,14.438,-1.437,1.062
left,5,71,14.938,0.562,-1.187
left,5,81,16.250,0.562,-2.250
left,5,91,18.187,-0.937,-1.812
left,5,101,20.812,-3.438,-0.312
left,5,111,22.062,-4.937,0.250
left,5,121,22.562,-6.000,0.000
left,5,131,22.875,-7.125,-0.500
left,5,141,22.687,-8.000,-0.687
left,5,151,21.812,-8.500,-1.375
left,5,161,21.062,-6.812,-4.750
left,5,171,21.875,-3.750,-9.375
left,5,181,25.562,-0.437,-15.188
left,5,191,32.750,0.375,-19.625
left,5,201,44.500,-1.187,-24.812
left,5,211,62.000,-5.250,-31.625
left,5,221,73.000,-7.625,-35.938
left,5,231,78.125,-6.125,-40.188
left,5,241,76.063,3.375,-49.750
left,5,251,70.250,16.000,-61.688
left,5,261,65.500,30.562,-75.438
left,5,271,66.375,46.063,-92.000
left,5,281,72.313,53.625,-103.813
left,5,291,80.188,57.938,-118.813
left,5,301,89.750,64.250,-133.937
left,5,311,96.875,73.188,-153.437
left,5,321,105.813,85.313,-179.062
left,5,331,112.625,91.375,-195.000
left,5,341,116.625,94.375,-205.312
left,5,351,112.313,96.625,-211.812
left,5,361,101.063,100.438,-213.312
left,5,371,88.375,108.938,-214.687
left,5,381,80.750,122.875,-222.687
left,5,391,85.688,127.313,-237.062
left,5,401,97.813,118.438,-258.625
left,5,411,109.875,90.875,-292.875
left,5,421,106.938,64.125,-321.375
left,5,431,85.500,34.625,-352.500
left,5,441,60.938,17.500,-370.437
left,5,451,34.875,5.750,-378.562
left,5,461,-0.937,-3.250,-371.562
left,5,471,-30.687,-6.375,-354.125
left,5,481,-53.750,-5.812,-330.000
left,5,491,-65.813,-1.000,-296.312
left,5,501,-66.250,1.875,-270.937
left,5,511,-66.813,3.188,-250.250
left,5,521,-74.750,6.125,-233.125
left,5,531,-90.313,8.813,-226.375
left,5,541,-111.313,11.938,-224.125
left,5,551,-133.312,12.375,-228.687
