gesture,rep,t_ms,gx,gy,gz
up,3,821,-39.750,-8.500,33.313
up,3,831,-51.000,-20.250,39.563
up,3,841,-52.250,-40.188,41.750
up,3,851,-37.500,-72.000,48.188
up,3,861,-13.688,-93.688,41.875
up,3,871,15.438,-100.063,28.000
up,3,881,22.875,-98.375,10.313
up,3,891,-8.000,-99.938,4.437
up,3,901,-50.563,-100.500,9.313
up,3,911,-84.000,-93.563,21.687
up,3,921,-85.250,-83.938,32.375
up,3,931,-70.063,-74.375,44.500
up,3,941,-47.813,-65.000,57.375
up,3,951,-40.250,-55.313,62.125
up,3,961,-61.125,-34.063,61.563
up,3,971,-65.313,-15.313,58.750
up,3,981,-84.375,-5.687,55.500
up,3,991,-93.688,-7.937,45.750
up,4,1,-8.500,17.625,0.812
up,4,11,-10.813,18.562,-3.688
up,4,21,-11.250,20.062,-11.438
up,4,31,-12.750,23.375,-12.563
up,4,41,-13.563,25.687,-8.313
up,4,51,-8.500,19.687,-6.875
up,4,61,-3.688,9.625,-14.500
up,4,71,-0.187,1.437,-28.375
up,4,81,13.875,0.812,-32.688
up,4,91,37.750,1.562,-24.812
up,4,101,61.813,2.313,-7.625
up,4,111,36.750,8.875,-11.938
up,4,121,-8.563,11.563,-22.375
up,4,131,-11.063,-4.812,-17.812
up,4,141,23.125,-13.250,-13.938
up,4,151,53.688,-6.000,-23.062
up,4,161,80.750,9.063,-47.688
up,4,171,103.250,15.938,-64.000
up,4,181,121.375,19.250,-70.438
up,4,191,122.563,20.000,-67.125
up,4,201,105.688,24.437,-59.125
up,4,211,72.500,41.188,-47.875
up,4,221,45.188,50.313,-36.563
up,4,231,23.625,45.750,-22.187
up,4,241,4.250,26.625,-4.750
up,4,251,-8.438,11.063,6.812
up,4,261,-12.813,0.000,12.938
up,4,271,13.750,-17.500,3.875
up,4,281,70.688,-41.000,-14.125
up,4,291,138.562,-54.375,-26.062
up,4,301,183.187,-25.687,-25.562
up,4,311,172.750,23.187,-24.000
up,4,321,136.687,81.125,-33.500
up,4,331,80.000,120.750,-47.500
up,4,341,39.000,160.750,-61.250
up,4,351,8.688,204.375,-75.875
up,4,361,9.250,222.687,-86.563
up,4,371,27.375,221.125,-96.750
up,4,381,51.750,196.562,-106.313
up,4,391,59.000,168.437,-106.750
up,4,401,55.313,138.000,-97.250
up,4,411,46.438,100.000,-76.688
up,4,421,41.500,77.688,-59.250
up,4,431,36.313,66.563,-43.625
up,4,441,28.687,60.875,-31.187
up,4,451,25.375,55.125,-28.375
up,4,461,28.000,42.813,-30.062
up,4,471,32.438,29.937,-32.000
up,4,481,34.500,17.125,-32.250
up,4,491,32.438,3.188,-26.750
up,4,501,29.375,-5.500,-17.687
up,4,511,26.312,-11.063,-7.625
up,4,521,21.750,-17.187,4.812
up,4,531,15.188,-21.937,13.563
up,4,541,5.562,-26.375,18.375
up,4,551,-2.813,-34.250,17.312
up,4,561,0.750,-42.125,15.813
up,4,571,11.875,-47.813,17.187
up,4,581,22.062,-47.500,19.687
up,4,591,20.437,-44.250,22.687
up,4,601,9.313,-36.625,26.125
up,4,611,-2.375,-28.937,26.562
up,4,621,-13.625,-22.812,23.937
up,4,631,-19.312,-19.312,19.562
up,4,641,-11.250,-18.750,18.562
up,4,651,4.562,-18.875,20.625
up,4,661,16.937,-18.062,23.625
up,4,671,10.063,-16.062,23.812
up,4,681,-7.625,-14.750,23.437
up,4,691,-24.187,-17.687,26.562
up,4,701,-22.750,-23.812,33.500
up,4,711,-10.188,-33.938,46.313
up,4,721,-1.375,-40.938,55.938
up,4,731,-0.187,-44.188,59.375
up,4,741,-12.250,-42.500,53.500
up,4,751,-24.125,-37.750,48.063
up,4,761,-26.625,-31.562,47.438
up,4,771,-14.063,-27.750,52.750
up,4,781,-2.375,-34.250,60.563
up,4,791,1.062,-48.125,69.500
up,4,801,-9.313,-65.125,74.938
up,4,811,-24.687,-74.000,73.563
up,4,821,-37.250,-80.188,69.625
up,4,831,-40.250,-79.688,67.438
up,4,841,-36.125,-71.625,64.813
up,4,851,-30.187,-54.000,56.563
up,4,861,-21.125,-46.875,47.813
up,4,871,-5.687,-52.188,42.375
up,4,881,7.937,-63.813,42.500
up,4,891,-0.750,-69.875,42.938
up,4,901,-22.062,-68.500,44.063
up,4,911,-51.875,-53.688,51.000
up,4,921,-75.188,-36.438,56.000
up,4,931,-93.500,-22.937,53.563
up,4,941,-97.750,-15.563,41.438
up,4,951,-87.250,-11.375,31.000
up,4,961,-73.688,0.437,21.937
up,4,971,-72.625,12.813,16.250
up,4,981,-79.188,21.312,8.813
up,4,991,-85.938,23.687,0.687
up,5,1,-3.938,-3.375,1.500
up,5,10,-6.500,-1.937,0.375
up,5,21,-7.062,-0.750,-0.625
up,5,31,-5.062,-0.750,-1.500
up,5,41,-2.813,-1.812,-1.750
up,5,51,-1.625,-2.875,-1.625
up,5,61,-1.500,-4.250,-1.250
up,5,71,-0.375,-5.625,-0.437
up,5,81,1.375,-6.875,0.375
up,5,91,0.562,-7.437,-0.125
up,5,101,-1.312,-9.125,-1.250
up,5,111,-0.562,-14.813,-2.313
up,5,121,3.000,-21.562,-3.000
up,5,131,8.000,-29.250,-4.187
up,5,141,17.437,-42.125,-5.437
up,5,151,30.687,-56.313,-6.000
up,5,161,51.250,-70.375,-5.812
up,5,171,80.125,-78.313,-5.062
up,5,181,95.063,-75.250,-7.875
up,5,191,98.438,-68.750,-15.188
up,5,201,93.625,-60.000,-25.187
up,5,211,92.125,-49.688,-30.125
up,5,221,96.313,-25.687,-32.313
up,5,231,92.688,3.563,-35.688
up,5,241,75.250,33.000,-44.938
up,5,251,51.500,54.063,-61.375
up,5,261,53.188,55.938,-71.188
up,5,271,76.000,50.188,-74.563
up,5,281,106.500,46.750,-72.938
up,5,291,112.875,53.313,-70.375
up,5,301,103.125,63.750,-66.375
up,5,311,78.500,74.125,-57.875
up,5,321,53.750,79.563,-47.938
up,5,331,29.750,84.125,-34.063
up,5,341,11.500,85.250,-24.312
up,5,351,9.625,83.688,-16.812
up,5,361,16.750,83.000,-9.875
up,5,371,18.375,87.563,-7.375
up,5,381,9.625,92.688,-8.188
up,5,391,-2.813,93.875,-10.563
up,5,401,-3.563,95.250,-12.375
up,5,411,-1.937,101.688,-15.125
up,5,421,-8.438,113.688,-19.250
up,5,431,-20.937,120.938,-19.500
up,5,441,-36.500,119.750,-15.875
up,5,451,-56.188,101.063,-9.563
up,5,461,-66.438,78.313,-4.687
up,5,471,-58.500,51.875,-2.500
up,5,481,-30.375,33.375,-7.062
up,5,491,8.000,18.187,-13.750
up,5,501,44.375,8.375,-17.562
up,5,511,54.000,7.937,-17.687
up,5,521,54.000,10.313,-18.062
up,5,531,49.750,12.688,-19.875
up,5,541,38.188,13.250,-22.875
up,5,551,20.375,12.125,-26.312
up,5,561,3.875,5.562,-28.625
up,5,571,2.000,-5.125,-28.500
up,5,581,8.375,-19.937,-24.937
up,5,591,18.312,-28.000,-19.375
up,5,601,20.875,-32.188,-12.438
up,5,611,14.188,-34.000,-3.750
up,5,621,5.562,-34.375,2.188
up,5,631,-1.437,-34.875,6.812
up,5,641,-7.500,-34.750,10.563
up,5,651,-10.500,-33.938,12.813
up,5,661,-9.875,-34.063,15.125
up,5,671,-4.687,-37.625,18.812
up,5,681,-1.812,-42.188,22.937
up,5,691,-3.375,-45.313,27.437
up,5,701,-9.438,-46.000,31.000
up,5,711,-10.875,-44.938,31.312
up,5,721,-1.687,-39.938,31.000
up,5,731,7.000,-30.562,31.437
up,5,741,4.250,-17.562,30.000
up,5,751,-15.750,-4.062,23.937
up,5,761,-30.625,-0.687,19.687
up,5,771,-34.750,-4.062,18.687
up,5,781,-25.000,-14.688,21.125
up,5,791,-10.250,-28.125,23.812
up,5,801,6.437,-46.063,25.812
up,5,811,22.875,-68.250,29.437
up,5,821,25.562,-77.688,35.563
up,5,831,14.563,-76.875,44.625
up,5,841,-15.438,-71.313,53.625
up,5,851,-40.000,-60.563,60.500
up,5,861,-56.188,-41.875,57.563
up,5,871,-54.813,-34.000,48.375
up,5,881,-45.063,-39.313,39.125
up,5,891,-30.562,-54.125,37.250
up,5,901,-24.375,-60.688,39.063
up,5,911,-26.500,-57.313,37.375
up,5,921,-38.688,-43.938,34.688
up,5,931,-49.250,-39.563,32.375
up,5,941,-51.000,-48.625,28.875
up,5,951,-37.250,-64.875,27.250
up,5,961,-27.125,-65.875,30.062
up,5,971,-38.625,-58.500,41.500
up,5,981,-68.188,-55.438,52.813
up,5,991,-104.000,-53.938,59.750
up,6,1,-3.813,-6.500,-1.875
up,6,11,-2.813,-7.000,-2.313
up,6,21,-1.687,-8.688,-1.937
up,6,31,-2.063,-11.125,-1.750
up,6,41,-2.313,-15.125,-2.000
up,6,51,0.937,-25.687,-2.313
up,6,61,7.875,-40.250,-2.438
up,6,71,17.375,-59.000,-3.063
up,6,81,32.000,-84.625,-4.187
up,6,91,45.875,-102.625,-4.312
up,6,101,60.500,-114.125,-4.937
up,6,111,76.313,-113.313,-7.562
up,6,121,81.938,-96.625,-11.500
up,6,131,71.625,-59.313,-19.250
up,6,141,51.750,-27.000,-30.062
up,6,151,35.500,-2.188,-43.313
up,6,161,36.188,13.813,-57.250
up,6,171,48.875,18.062,-64.188
up,6,181,62.625,21.250,-69.063
up,6,191,76.813,27.437,-75.500
up,6,201,84.875,31.375,-80.188
up,6,211,88.000,33.063,-81.938
up,6,221,83.750,36.625,-78.813
up,6,231,76.250,44.313,-75.000
up,6,241,65.563,60.438,-71.750
up,6,251,58.438,75.625,-70.813
up,6,261,56.563,86.813,-70.875
up,6,271,61.875,95.875,-70.563
up,6,281,69.000,104.875,-69.000
up,6,291,76.313,118.125,-66.375
up,6,301,83.563,139.375,-63.063
up,6,311,87.938,156.937,-59.063
up,6,321,89.813,172.625,-52.625
up,6,331,78.500,185.000,-44.438
up,6,341,51.063,185.250,-42.375
up,6,351,14.688,180.437,-46.125
up,6,361,-20.812,177.000,-50.688
up,6,371,-33.688,175.437,-52.938
up,6,381,-36.500,167.750,-49.375
up,6,391,-36.750,157.562,-41.563
up,6,401,-41.375,146.062,-31.625
up,6,411,-53.188,128.625,-19.750
up,6,421,-62.125,109.813,-13.188
up,6,431,-64.188,86.813,-10.500
up,6,441,-52.125,56.938,-10.438
up,6,451,-31.625,35.688,-9.688
up,6,461,-8.188,17.562,-7.375
up,6,471,9.375,0.062,-5.500
up,6,481,10.438,-8.813,-7.750
up,6,491,7.625,-15.500,-12.438
up,6,501,9.250,-20.812,-13.438
up,6,511,12.250,-28.000,-11.563
up,6,521,14.000,-38.125,-8.125
up,6,531,15.125,-44.313,-5.687
up,6,541,16.562,-47.375,-3.188
up,6,551,15.938,-46.875,0.375
up,6,561,11.500,-44.063,3.188
up,6,571,3.000,-41.250,5.125
up,6,581,-9.250,-39.500,7.125
up,6,591,-13.625,-38.500,10.313
up,6,601,-11.938,-36.875,16.750
up,6,611,-14.250,-33.875,20.625
up,6,621,-26.812,-30.437,20.312
up,6,631,-43.875,-24.312,16.625
up,6,641,-48.813,-18.875,15.250
up,6,651,-45.938,-15.375,16.250
up,6,661,-32.938,-17.125,18.812
up,6,671,-14.438,-23.875,21.687
up,6,681,6.125,-32.375,25.562
up,6,691,18.500,-41.500,30.500
up,6,701,10.438,-47.125,32.938
up,6,711,-7.875,-51.313,33.938
up,6,721,-27.375,-54.813,35.563
up,6,731,-30.500,-55.563,39.188
up,6,741,-23.687,-53.375,45.688
up,6,751,-19.875,-49.688,49.125
up,6,761,-20.187,-45.500,49.500
up,6,771,-19.437,-42.625,48.250
up,6,781,-15.688,-43.188,48.063
up,6,791,-13.375,-46.063,48.563
up,6,801,-16.937,-52.625,48.313
up,6,811,-21.000,-59.188,46.625
up,6,821,-19.062,-65.375,45.188
up,6,831,-8.250,-67.563,46.188
up,6,841,-3.688,-65.250,49.063
up,6,851,-12.563,-70.750,50.313
up,6,861,-28.312,-81.750,51.438
up,6,871,-30.187,-78.563,56.188
up,6,881,-27.812,-61.125,61.500
up,6,891,-35.938,-47.938,58.125
up,6,901,-53.250,-38.688,49.563
up,6,911,-73.938,-26.937,41.500
up,6,921,-79.313,-19.875,39.500
up,6,931,-72.813,-21.437,39.750
up,6,941,-59.938,-30.625,41.500
up,6,951,-54.938,-34.188,42.938
up,6,961,-54.188,-33.063,42.938
up,6,971,-55.750,-30.250,40.000
up,6,981,-59.125,-30.250,36.813
up,6,991,-63.625,-31.625,33.625
up,7,1,-1.812,-6.437,-0.937
up,7,11,-0.812,-10.313,-2.188
up,7,21,0.875,-14.563,-2.750
up,7,31,3.875,-19.562,-2.313
up,7,41,7.250,-23.187,-1.687
up,7,51,10.438,-28.062,-1.812
up,7,61,14.563,-39.688,-3.688
up,7,71,19.312,-53.563,-5.437
up,7,81,26.187,-67.688,-5.687
up,7,91,38.125,-78.563,-3.563
up,7,101,45.125,-77.188,-0.250
up,7,111,42.250,-62.563,3.250
up,7,121,34.938,-46.563,0.562
up,7,131,30.812,-31.937,-8.688
up,7,141,32.625,-14.000,-23.875
up,7,151,34.438,2.938,-32.000
up,7,161,32.125,19.937,-36.313
up,7,171,32.750,34.063,-43.813
up,7,181,46.688,39.625,-53.750
up,7,191,69.188,45.063,-64.375
up,7,201,94.125,55.438,-76.000
up,7,211,105.875,63.000,-84.313
up,7,221,110.938,67.188,-92.125
up,7,231,112.250,73.250,-93.500
up,7,241,109.313,84.063,-88.813
up,7,251,92.375,102.500,-78.063
up,7,261,65.875,115.063,-69.875
up,7,271,36.438,123.813,-62.375
up,7,281,6.687,132.312,-52.438
up,7,291,-13.125,137.312,-43.500
up,7,301,-31.562,137.312,-33.938
up,7,311,-45.188,126.188,-23.812
up,7,321,-42.375,111.500,-18.000
up,7,331,-29.625,99.375,-12.375
up,7,341,-13.938,94.688,-4.375
up,7,351,-11.063,96.438,1.500
up,7,361,-20.625,98.500,3.313
up,7,371,-36.125,98.125,-2.750
up,7,381,-52.375,95.313,-13.438
up,7,391,-58.500,87.438,-24.562
up,7,401,-47.500,76.063,-28.437
up,7,411,-28.062,60.000,-30.125
up,7,421,-0.500,39.250,-32.938
up,7,431,20.125,27.250,-35.750
up,7,441,36.750,19.250,-37.313
up,7,451,46.125,10.250,-36.688
up,7,461,42.875,1.500,-34.563
up,7,471,35.750,-8.313,-28.750
up,7,481,30.000,-20.000,-20.250
up,7,491,28.562,-28.250,-8.875
up,7,501,27.562,-34.938,5.937
up,7,511,23.500,-35.813,15.000
up,7,521,13.563,-34.813,20.000
up,7,531,0.937,-37.750,21.187
up,7,541,2.875,-45.563,19.937
up,7,551,18.562,-56.750,19.312
up,7,561,46.375,-69.500,22.687
up,7,571,62.250,-73.250,28.812
up,7,581,62.438,-68.375,35.625
up,7,591,41.813,-55.313,42.938
up,7,601,19.500,-46.375,48.250
up,7,611,-3.813,-40.938,53.750
up,7,621,-19.000,-41.250,55.938
up,7,631,-31.687,-45.500,55.875
up,7,641,-37.813,-51.188,54.313
up,7,651,-33.375,-51.688,52.938
up,7,661,-25.500,-49.625,52.375
up,7,671,-17.250,-46.438,50.688
up,7,681,-14.563,-44.875,47.063
up,7,691,-17.437,-45.813,43.063
up,7,701,-25.375,-48.563,39.375
up,7,711,-28.500,-52.000,37.313
up,7,721,-23.875,-58.688,36.188
up,7,731,-9.125,-64.688,37.813
up,7,741,-1.437,-62.250,43.375
up,7,751,-17.125,-70.000,46.938
up,7,761,-39.875,-78.625,46.125
up,7,771,-53.750,-71.688,48.375
up,7,781,-57.313,-54.875,50.625
up,7,791,-55.875,-54.500,45.750
up,7,801,-52.313,-62.563,38.813
up,7,811,-47.000,-65.625,38.313
up,7,821,-46.750,-56.563,44.063
up,7,831,-53.250,-41.125,48.500
up,7,841,-70.375,-21.687,46.000
up,7,851,-86.063,-11.563,39.625
up,7,861,-96.375,-7.500,32.563
up,7,871,-90.688,-6.937,30.562
up,7,881,-77.813,-3.438,31.937
up,7,891,-73.500,8.438,34.563
up,7,901,-85.063,21.250,34.750
up,7,911,-98.875,32.313,33.250
