gesture,rep,t_ms,gx,gy,gz
right,4,241,-15.938,17.750,-22.250
right,4,251,30.312,-28.062,1.437
right,4,261,62.563,-74.375,34.563
right,4,271,77.125,-122.625,77.875
right,4,281,82.313,-144.875,106.625
right,4,291,91.938,-150.937,136.312
right,4,301,107.125,-133.875,156.437
right,4,311,117.188,-93.750,167.687
right,4,321,115.250,-41.688,166.125
right,4,331,97.688,-43.500,161.250
right,4,341,68.313,-85.250,162.937
right,4,351,36.375,-146.625,177.750
right,4,361,43.813,-180.875,194.937
right,4,371,82.688,-203.562,212.125
right,4,381,142.250,-220.125,237.625
right,4,391,169.750,-223.312,257.812
right,4,401,162.437,-221.375,263.125
right,4,411,109.438,-225.937,239.062
right,4,421,54.188,-238.875,205.187
right,4,431,-3.500,-257.437,162.312
right,4,441,-27.437,-266.500,136.562
right,4,451,-26.187,-266.187,119.813
right,4,461,0.687,-252.500,106.313
right,4,471,23.375,-234.625,99.250
right,4,481,32.000,-216.187,94.438
right,4,491,23.000,-196.812,91.750
right,4,501,11.813,-181.375,93.625
right,4,511,5.125,-162.750,96.875
right,4,521,-0.562,-137.125,95.688
right,4,531,-9.000,-117.625,86.813
right,4,541,-20.062,-99.750,66.375
right,4,551,-27.312,-78.375,46.250
right,4,561,-24.187,-60.375,28.562
right,4,571,-18.812,-35.875,15.000
right,4,581,-21.375,-15.000,12.625
right,4,591,-29.250,5.125,18.687
right,4,601,-33.375,35.313,34.125
right,4,611,-22.625,72.625,44.750
right,4,621,-8.000,114.188,48.375
right,4,631,-5.625,147.937,42.813
right,4,641,-14.750,157.875,31.562
right,4,651,-22.250,161.875,15.500
right,4,661,-22.000,167.062,-6.437
right,4,671,-16.937,170.562,-20.687
right,4,681,-14.438,170.375,-30.125
right,4,691,-20.187,166.812,-31.312
right,4,701,-35.688,160.750,-27.937
right,4,711,-65.313,150.437,-18.125
right,4,721,-83.563,146.250,-10.250
right,4,731,-84.125,151.750,-6.125
